PLAYER_NAME,PLAYER_ID,TEAM_NAME_x,LOCATION,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,PTS,PLUS_MINUS,Efficiency,Season Type,GP_x,W_x,L_x,Logo_URL,DISPLAY_FIRST_LAST_x,TEAM_ID,TEAM_ABBREVIATION,HEADSHOT_URL,DISPLAY_FIRST_LAST_y,POSITION,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT,MIN_y,DEF_RATING,DREB_y,DREB_PCT,STL_y,BLK_y,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Conference
Aaron Nesmith,1630174,Indiana Pacers,AWAY,28.29,4.32,9.0,0.48,2.17,4.93,0.44,1.37,1.83,0.56,0.88,3.27,4.15,1.49,1.02,1.05,0.76,0.73,3.56,1.95,12.17,2.15,13.44,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png,Aaron Nesmith,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png,Aaron Nesmith,Guard-Forward,Indiana Pacers,82,47,35,0.573,3941.0,117.6,2578,0.7,631,481,1297.0,1212.0,1122.0,4792.0,1,12,12,12,26,24,28,26,11,8,12,26,11,30,East
Aaron Nesmith,1630174,Indiana Pacers,HOME,26.93,4.45,8.58,0.52,1.65,4.26,0.41,1.65,2.0,0.6,0.87,2.52,3.39,1.52,0.71,0.71,0.58,0.68,3.06,2.1,12.19,2.35,13.19,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png,Aaron Nesmith,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png,Aaron Nesmith,Guard-Forward,Indiana Pacers,82,47,35,0.573,3941.0,117.6,2578,0.7,631,481,1297.0,1212.0,1122.0,4792.0,1,12,12,12,26,24,28,26,11,8,12,26,11,30,East
Aaron Wiggins,1630598,Oklahoma City Thunder,AWAY,14.66,2.42,4.03,0.55,0.72,1.25,0.46,0.65,0.88,0.24,0.75,1.6,2.35,0.85,0.78,0.57,0.22,0.3,1.08,0.82,6.22,0.55,7.62,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png,Aaron Wiggins,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png,Aaron Wiggins,Guard,Oklahoma City Thunder,82,57,25,0.695,3961.0,111.0,2725,0.698,694,538,1211.0,1258.0,1025.0,3852.0,1,2,2,2,10,4,12,27,1,1,3,28,3,7,West
Aaron Wiggins,1630598,Oklahoma City Thunder,HOME,16.88,3.03,5.68,0.51,0.87,2.0,0.3,0.79,0.95,0.37,0.79,1.63,2.42,1.37,0.66,0.87,0.26,0.55,1.26,0.68,7.71,1.89,9.16,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png,Aaron Wiggins,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png,Aaron Wiggins,Guard,Oklahoma City Thunder,82,57,25,0.695,3961.0,111.0,2725,0.698,694,538,1211.0,1258.0,1025.0,3852.0,1,2,2,2,10,4,12,27,1,1,3,28,3,7,West
Adam Flagler,1641745,Oklahoma City Thunder,AWAY,5.5,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png,Adam Flagler,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png,Adam Flagler,Guard,Oklahoma City Thunder,82,57,25,0.695,3961.0,111.0,2725,0.698,694,538,1211.0,1258.0,1025.0,3852.0,1,2,2,2,10,4,12,27,1,1,3,28,3,7,West
Adam Flagler,1641745,Oklahoma City Thunder,HOME,8.52,1.0,4.0,0.25,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png,Adam Flagler,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png,Adam Flagler,Guard,Oklahoma City Thunder,82,57,25,0.695,3961.0,111.0,2725,0.698,694,538,1211.0,1258.0,1025.0,3852.0,1,2,2,2,10,4,12,27,1,1,3,28,3,7,West
Adama Sanogo,1641766,Chicago Bulls,AWAY,7.23,1.67,2.67,0.47,0.0,0.0,0.0,0.67,1.0,0.22,2.67,1.67,4.33,0.0,0.67,0.0,0.0,0.0,0.0,0.67,4.0,6.0,6.33,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Adama Sanogo,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1641766.png,Adama Sanogo,Forward,Chicago Bulls,82,39,43,0.476,3996.0,115.7,2677,0.717,638,394,1249.0,1133.0,1088.0,3726.0,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East
Adama Sanogo,1641766,Chicago Bulls,HOME,7.34,1.5,3.17,0.24,0.0,0.0,0.0,1.0,1.5,0.11,1.83,2.0,3.83,0.0,0.5,0.17,0.0,0.33,0.83,0.83,4.0,2.67,5.33,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Adama Sanogo,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1641766.png,Adama Sanogo,Forward,Chicago Bulls,82,39,43,0.476,3996.0,115.7,2677,0.717,638,394,1249.0,1133.0,1088.0,3726.0,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East
Admiral Schofield,1629678,Orlando Magic,AWAY,3.77,0.62,1.38,0.27,0.38,0.88,0.27,0.0,0.12,0.0,0.12,0.56,0.69,0.38,0.25,0.06,0.0,0.06,0.44,0.12,1.62,-0.94,1.62,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-orlando-magic-logo.png,Admiral Schofield,1610612753,ORL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629678.png,Admiral Schofield,Forward,Orlando Magic,82,47,35,0.573,3956.0,110.8,2608,0.737,669,423,1348.0,994.0,1189.0,3892.0,1,12,12,12,17,3,25,2,5,13,16,2,19,8,East
Admiral Schofield,1629678,Orlando Magic,HOME,3.44,0.0,0.57,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.14,0.71,0.86,0.14,0.14,0.0,0.0,0.29,0.29,0.14,0.0,0.29,0.29,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-orlando-magic-logo.png,Admiral Schofield,1610612753,ORL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629678.png,Admiral Schofield,Forward,Orlando Magic,82,47,35,0.573,3956.0,110.8,2608,0.737,669,423,1348.0,994.0,1189.0,3892.0,1,12,12,12,17,3,25,2,5,13,16,2,19,8,East
Al Horford,201143,Boston Celtics,AWAY,26.83,3.17,6.17,0.51,1.51,3.8,0.4,0.39,0.49,0.2,1.17,5.2,6.37,2.76,0.78,0.56,0.98,0.1,1.32,0.49,8.24,5.34,15.02,Regular Season,82,64,18,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png,Al Horford,1610612738,BOS,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,Al Horford,Center-Forward,Boston Celtics,82,64,18,0.78,3966.0,110.6,2923,0.726,557,538,1093.0,1114.0,1063.0,3912.0,1,1,1,1,7,2,1,7,27,1,1,10,4,9,East
Al Horford,201143,Boston Celtics,HOME,26.65,3.5,6.92,0.51,1.92,4.25,0.4,0.42,0.42,0.21,1.42,4.92,6.33,2.29,0.67,0.62,0.92,0.29,1.62,0.38,9.33,8.42,15.42,Regular Season,82,64,18,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png,Al Horford,1610612738,BOS,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,Al Horford,Center-Forward,Boston Celtics,82,64,18,0.78,3966.0,110.6,2923,0.726,557,538,1093.0,1114.0,1063.0,3912.0,1,1,1,1,7,2,1,7,27,1,1,10,4,9,East
Alec Burks,202692,Detroit Pistons,AWAY,20.28,3.55,9.2,0.36,2.4,6.0,0.37,3.05,3.5,0.59,0.25,2.35,2.6,1.95,0.75,0.6,0.1,0.25,1.4,2.8,12.55,-3.4,10.95,Regular Season,82,14,68,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png,Alec Burks,1610612752,NYK,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png,Alec Burks,Guard,New York Knicks,82,50,32,0.61,3946.0,112.4,2665,0.729,612,336,1222.0,1008.0,1133.0,3848.0,1,6,6,6,23,9,21,6,17,29,5,3,13,6,East
Alec Burks,202692,Detroit Pistons,HOME,21.52,3.87,9.65,0.39,2.22,5.52,0.39,2.61,2.78,0.7,0.48,2.04,2.52,1.26,0.74,0.39,0.39,0.26,1.57,2.09,12.57,-5.13,10.43,Regular Season,82,14,68,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png,Alec Burks,1610612752,NYK,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png,Alec Burks,Guard,New York Knicks,82,50,32,0.61,3946.0,112.4,2665,0.729,612,336,1222.0,1008.0,1133.0,3848.0,1,6,6,6,23,9,21,6,17,29,5,3,13,6,East
Alec Burks,202692,New York Knicks,AWAY,11.79,1.86,6.14,0.24,1.0,3.43,0.24,0.43,0.71,0.19,0.29,1.57,1.86,0.71,0.29,0.0,0.0,0.86,0.29,0.71,5.14,-1.43,2.86,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo.png,Alec Burks,1610612752,NYK,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png,Alec Burks,Guard,New York Knicks,82,50,32,0.61,3946.0,112.4,2665,0.729,612,336,1222.0,1008.0,1133.0,3848.0,1,6,6,6,23,9,21,6,17,29,5,3,13,6,East
Alec Burks,202692,New York Knicks,HOME,14.28,2.31,7.5,0.26,1.12,3.69,0.27,1.31,1.75,0.44,0.38,1.31,1.69,0.94,0.88,0.44,0.06,0.25,0.56,1.12,7.06,-3.75,3.69,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo.png,Alec Burks,1610612752,NYK,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png,Alec Burks,Guard,New York Knicks,82,50,32,0.61,3946.0,112.4,2665,0.729,612,336,1222.0,1008.0,1133.0,3848.0,1,6,6,6,23,9,21,6,17,29,5,3,13,6,East
Aleksej Pokusevski,1630197,Charlotte Hornets,AWAY,20.5,3.0,6.12,0.54,1.0,2.88,0.28,1.12,1.75,0.31,1.0,4.12,5.12,1.5,0.62,0.75,0.62,0.25,0.88,1.5,8.12,-2.75,11.75,Regular Season,82,21,61,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png,Aleksej Pokusevski,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1630197.png,Aleksej Pokusevski,Forward,Charlotte Hornets,82,21,61,0.256,3946.0,119.2,2538,0.709,562,371,1401.0,1160.0,1128.0,4308.0,1,27,27,27,23,29,29,22,25,25,20,21,12,23,East
Aleksej Pokusevski,1630197,Charlotte Hornets,HOME,18.09,2.1,5.6,0.43,0.8,2.1,0.4,1.9,2.3,0.59,0.7,3.1,3.8,1.8,1.1,0.8,0.7,0.2,1.0,1.3,6.9,-1.8,9.0,Regular Season,82,21,61,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png,Aleksej Pokusevski,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1630197.png,Aleksej Pokusevski,Forward,Charlotte Hornets,82,21,61,0.256,3946.0,119.2,2538,0.709,562,371,1401.0,1160.0,1128.0,4308.0,1,27,27,27,23,29,29,22,25,25,20,21,12,23,East
Aleksej Pokusevski,1630197,Oklahoma City Thunder,AWAY,6.7,0.29,1.43,0.1,0.14,1.0,0.14,0.14,0.29,0.07,0.29,0.86,1.14,0.71,0.29,0.0,0.14,0.0,0.43,0.14,0.86,-2.0,1.29,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png,Aleksej Pokusevski,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1630197.png,Aleksej Pokusevski,Forward,Charlotte Hornets,82,21,61,0.256,3946.0,119.2,2538,0.709,562,371,1401.0,1160.0,1128.0,4308.0,1,27,27,27,23,29,29,22,25,25,20,21,12,23,West
Aleksej Pokusevski,1630197,Oklahoma City Thunder,HOME,4.52,0.67,2.0,0.33,0.33,1.33,0.33,0.33,0.67,0.17,0.0,0.67,0.67,0.0,0.33,0.33,0.0,0.0,0.67,0.33,2.0,-6.67,1.0,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png,Aleksej Pokusevski,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1630197.png,Aleksej Pokusevski,Forward,Charlotte Hornets,82,21,61,0.256,3946.0,119.2,2538,0.709,562,371,1401.0,1160.0,1128.0,4308.0,1,27,27,27,23,29,29,22,25,25,20,21,12,23,West
Alex Caruso,1627936,Chicago Bulls,AWAY,27.96,3.22,7.48,0.45,1.68,4.7,0.34,1.08,1.45,0.37,0.82,3.05,3.88,3.42,1.27,1.5,0.98,0.32,2.6,1.98,9.2,-0.82,13.08,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Alex Caruso,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png,Alex Caruso,Guard,Chicago Bulls,82,39,43,0.476,3996.0,115.7,2677,0.717,638,394,1249.0,1133.0,1088.0,3726.0,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East
Alex Caruso,1627936,Chicago Bulls,HOME,29.74,4.0,7.81,0.52,2.23,4.68,0.47,0.97,1.23,0.33,0.94,2.87,3.81,3.55,1.65,1.94,1.0,0.39,2.48,1.9,11.19,1.19,15.77,Regular Season,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,Alex Caruso,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png,Alex Caruso,Guard,Chicago Bulls,82,39,43,0.476,3996.0,115.7,2677,0.717,638,394,1249.0,1133.0,1088.0,3726.0,1,20,20,20,1,22,19,17,9,18,8,15,7,1,East
Alex Fudge,1641788,Dallas Mavericks,AWAY,12.88,2.5,4.5,0.28,0.5,1.5,0.17,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.5,1.5,0.0,0.5,0.5,0.0,5.5,-9.5,6.0,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,Alex Fudge,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1641788.png,Alex Fudge,Forward,Dallas Mavericks,82,50,32,0.61,3941.0,114.9,2724,0.711,563,406,1240.0,1170.0,1291.0,4186.0,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West
Alex Fudge,1641788,Los Angeles Lakers,AWAY,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,-2.0,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo.png,Alex Fudge,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1641788.png,Alex Fudge,Forward,Dallas Mavericks,82,50,32,0.61,3941.0,114.9,2724,0.711,563,406,1240.0,1170.0,1291.0,4186.0,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West
Alex Fudge,1641788,Los Angeles Lakers,HOME,3.49,0.33,1.0,0.33,0.0,0.33,0.0,0.67,0.67,0.33,0.33,0.0,0.33,0.0,0.33,0.0,0.0,0.33,0.0,0.33,1.33,-5.67,0.67,Regular Season,82,47,35,https://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo.png,Alex Fudge,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1641788.png,Alex Fudge,Forward,Dallas Mavericks,82,50,32,0.61,3941.0,114.9,2724,0.711,563,406,1240.0,1170.0,1291.0,4186.0,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West
Alex Len,203458,Sacramento Kings,AWAY,9.05,1.03,1.57,0.43,0.0,0.1,0.0,0.57,0.83,0.22,1.03,1.7,2.73,0.9,0.5,0.2,0.7,0.2,1.27,0.53,2.63,2.53,5.87,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png,Alex Len,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/203458.png,Alex Len,Center,Sacramento Kings,82,46,36,0.561,3971.0,114.4,2719,0.744,625,342,1349.0,891.0,962.0,4006.0,1,16,16,16,3,14,15,1,13,28,17,1,2,13,West
Alex Len,203458,Sacramento Kings,HOME,9.59,1.06,1.89,0.46,0.0,0.0,0.0,0.17,0.5,0.06,0.83,1.72,2.56,1.28,0.67,0.28,0.67,0.22,1.56,0.56,2.28,3.67,5.22,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png,Alex Len,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/203458.png,Alex Len,Center,Sacramento Kings,82,46,36,0.561,3971.0,114.4,2719,0.744,625,342,1349.0,891.0,962.0,4006.0,1,16,16,16,3,14,15,1,13,28,17,1,2,13,West
Alondes Williams,1631214,Miami Heat,AWAY,3.49,0.0,1.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.0,0.0,0.33,0.33,0.0,0.0,-3.33,-1.33,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-miami-heat-logo.png,Alondes Williams,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/1631214.png,Alondes Williams,Guard,Miami Heat,82,46,36,0.561,3951.0,111.5,2702,0.734,617,280,1298.0,1084.0,1066.0,3802.0,1,16,16,16,21,5,16,3,15,30,13,7,5,3,East
Alondes Williams,1631214,Miami Heat,HOME,1.28,0.5,1.0,0.38,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,1.25,-2.5,0.75,Regular Season,82,46,36,https://loodibee.com/wp-content/uploads/nba-miami-heat-logo.png,Alondes Williams,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/1631214.png,Alondes Williams,Guard,Miami Heat,82,46,36,0.561,3951.0,111.5,2702,0.734,617,280,1298.0,1084.0,1066.0,3802.0,1,16,16,16,21,5,16,3,15,30,13,7,5,3,East
Alperen Sengun,1630578,Houston Rockets,AWAY,32.35,7.93,15.0,0.54,0.25,1.43,0.18,4.64,6.43,0.74,2.57,6.0,8.57,5.04,2.75,1.0,0.86,1.11,3.11,5.61,20.75,0.18,24.61,Regular Season,82,41,41,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png,Alperen Sengun,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png,Alperen Sengun,Center,Houston Rockets,82,41,41,0.5,3971.0,112.8,2787,0.722,639,375,1221.0,1130.0,958.0,3992.0,1,19,19,19,3,10,6,12,8,24,4,14,1,12,West
